
              Name                 Version     Type   
  musl-utils                     1.2.5-r8     apk     
  mute-stream                    1.0.0        npm     
  name-from-folder               2.0.0        npm     
  negotiator                     0.6.3        npm     
  node                           18.20.5      github  
  node-gyp                       10.1.0       npm     
  node-gyp                       3.0.0        npm     
  nopt                           7.2.1        npm     
  normalize-package-data         6.0.2        npm     
  npm                            10.8.2       npm     
  npm-audit-report               5.0.0        npm     
  npm-bundled                    3.0.1        npm     
  npm-install-checks             6.3.0        npm     
  npm-normalize-package-bin      3.0.1        npm     
  npm-package-arg                11.0.2       npm     
  npm-packlist                   8.0.2        npm     
  npm-pick-manifest              9.1.0        npm     
  npm-profile                    10.0.0       npm     
  npm-registry-fetch             17.1.0       npm     
  npm-user-validate              2.0.1        npm     
  object-inspect                 1.13.3       npm     
  on-finished                    2.4.1        npm     
  openssl                        3.3.2-r4     apk     
  p-map                          4.0.0        npm     
  package-json                   5.2.0        npm     
  package-json-from-dist         1.0.0        npm     
  pacote                         18.0.6       npm     
  parse-conflict-json            3.0.1        npm     
  parseargs                      0.11.0       npm     
  parseurl                       1.3.3        npm     
  path-key                       3.1.1        npm     
  path-scurry                    1.11.1       npm     
  path-to-regexp                 0.1.12       npm     
  pax-utils                      1.3.8-r1     apk     
  postcss-selector-parser        6.1.0        npm     
  proc-log                       4.2.0        npm     
  proc-log                       3.0.0        npm     
  proggy                         2.0.0        npm     
  projeto-caotico                1.0.0        npm     
  promise-all-reject-late        1.0.1        npm     
  promise-call-limit             3.0.1        npm     
  promise-inflight               1.0.1        npm     
  promise-retry                  2.0.1        npm     
  promise-spawn                  7.0.2        npm     
  promzard                       1.0.2        npm     
  protobuf-specs                 0.3.2        npm     
  proxy-addr                     2.0.7        npm     
  qrcode-terminal                0.12.0       npm     
  qs                             6.13.0       npm     
  query                          3.1.0        npm     
  range-parser                   1.2.1        npm     
  raw-body                       2.5.2        npm     
  read                           3.0.1        npm     
  read-cmd-shim                  4.0.0        npm     
  read-package-json-fast         3.0.2        npm     
  redact                         2.0.1        npm     
  retry                          0.12.0       npm     
  run-script                     8.1.0        npm     
  safe-buffer                    5.2.1        npm     
  safer-buffer                   2.1.2        npm     
  scanelf                        1.3.8-r1     apk     
  semver                         7.6.2        npm     
  send                           0.19.0       npm     
  serve-static                   1.16.2       npm     
  set-function-length            1.2.2        npm     
  setprototypeof                 1.2.0        npm     
  shebang-command                2.0.0        npm     
  shebang-regex                  3.0.0        npm     
  side-channel                   1.1.0        npm     
  side-channel-list              1.0.0        npm     
  side-channel-map               1.0.1        npm     
  side-channel-weakmap           1.0.2        npm     
  sign                           2.3.2        npm     
  signal-exit                    4.1.0        npm     
  sigstore                       2.3.1        npm     
  smart-buffer                   4.2.0        npm     
  socks                          2.8.3        npm     
  socks-proxy-agent              8.0.4        npm     
  spdx-correct                   3.2.0        npm     
  spdx-exceptions                2.5.0        npm     
  spdx-expression-parse          4.0.0        npm     
  spdx-expression-parse          3.0.1        npm     
  spdx-license-ids               3.0.18       npm     
  sprintf-js                     1.1.3        npm     
  ssl_client                     1.37.0-r8    apk     
  ssri                           10.0.6       npm     
  statuses                       2.0.1        npm     
  string-locale-compare          1.1.0        npm     
  string-width                   5.1.2        npm     
  string-width                   4.2.3        npm     
  strip-ansi                     6.0.1        npm     
  strip-ansi                     7.1.0        npm     
  supports-color                 9.4.0        npm     
  supports-color                 7.2.0        npm     
  tar                            6.2.1        npm     
  text-table                     0.2.0        npm     
  tiny-relative-date             1.3.0        npm     
  toidentifier                   1.0.1        npm     
  treeverse                      3.0.0        npm     
  tuf                            2.3.4        npm     
  tuf-js                         2.2.1        npm     
  type-is                        1.6.18       npm     
  unique-filename                3.0.0        npm     
  unique-slug                    4.0.0        npm     
  unpipe                         1.0.0        npm     
  util-deprecate                 1.0.2        npm     
  utils-merge                    1.0.1        npm     
  validate-npm-package-license   3.0.4        npm     
  validate-npm-package-name      5.0.1        npm     
  vary                           1.1.2        npm     
  verify                         1.2.1        npm     
  walk-up-path                   3.0.1        npm     
  which                          2.0.2        npm     
  which                          4.0.0        npm     
  wrap-ansi                      7.0.0        npm     
  wrap-ansi                      8.1.0        npm     
  write-file-atomic              5.0.1        npm     
  yallist                        4.0.0        npm     
  yarn                           1.22.22      npm     
  zlib                           1.3.1-r2     apk     
